Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,38.279999,38.279999,37.549999,37.770000,37.395775,172200
2021-04-27,37.930000,38.180000,37.630001,37.730000,37.356167,85500
2021-04-28,37.790001,38.299999,37.310001,38.230000,37.851215,63700
2021-04-29,38.340000,38.340000,37.590000,37.810001,37.435379,53000
2021-04-30,37.630001,37.630001,36.880001,37.180000,36.811623,76900
2021-05-03,37.220001,37.880001,37.220001,37.730000,37.356167,51300
2021-05-04,37.630001,37.959999,37.349998,37.630001,37.257164,87900
2021-05-05,38.560001,39.330002,38.389999,38.619999,38.237350,86800
2021-05-06,38.619999,38.750000,38.090000,38.529999,38.148243,56200
2021-05-07,38.500000,39.209999,38.439999,38.639999,38.356705,41800
2021-05-10,38.500000,38.619999,37.869999,37.869999,37.592350,74500
2021-05-11,37.750000,37.750000,36.840000,37.150002,36.877632,65700
2021-05-12,37.139999,37.369999,36.549999,36.580002,36.311810,58400
2021-05-13,36.500000,37.209999,36.500000,37.119999,36.847847,31000
2021-05-14,37.770000,38.130001,37.290001,38.049999,37.771027,85700
2021-05-17,37.919998,38.410000,37.630001,37.930000,37.651909,48700
2021-05-18,37.889999,38.290001,37.410000,37.439999,37.165497,104100
2021-05-19,37.169998,37.459999,36.709999,37.439999,37.165497,69900
2021-05-20,37.570000,38.209999,37.380001,37.950001,37.671764,62400
2021-05-21,38.139999,38.430000,38.029999,38.250000,37.969563,55300
2021-05-24,38.340000,38.610001,38.180000,38.250000,37.969563,56400
2021-05-25,38.230000,38.419998,37.220001,37.230000,36.957043,68800
2021-05-26,37.230000,37.700001,37.099998,37.490002,37.215134,60200
2021-05-27,37.970001,38.590000,37.930000,38.259998,37.979488,125700
2021-05-28,38.480000,38.480000,37.900002,38.360001,38.078758,44000
2021-06-01,38.599998,39.130001,38.389999,38.779999,38.495674,65500
2021-06-02,39.000000,39.000000,38.020000,38.080002,37.800812,47600
2021-06-03,37.880001,37.880001,37.360001,37.750000,37.473228,69700
2021-06-04,37.779999,38.240002,37.480000,38.040001,37.761101,71300
2021-06-07,38.040001,38.660000,38.009998,38.470001,38.187950,52000
2021-06-08,38.590000,39.020000,38.430000,38.720001,38.436115,58900
2021-06-09,39.580002,39.650002,38.580002,38.720001,38.436115,134900
2021-06-10,38.540001,38.570000,37.820000,37.820000,37.542717,84600
